Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.0,151848821,13,11680678.5,4542982.0,2204,51648492,17922027.3,poll
41.6,112647753,441,255437.1,11203.0,1038,9624083,768516.8,ioctl
1.8,4766380,10,476638.0,48199.0,25417,3769352,1174021.9,sem_timedwait
0.2,466861,15,31124.1,11426.0,3046,140037,36238.9,mmap64
0.1,307268,20,15363.4,10533.0,2954,108871,22387.3,mmap
0.1,181510,3,60503.3,62028.0,56343,63139,3645.5,pthread_create
0.1,158667,36,4407.4,4166.5,1176,14176,2724.1,open64
0.0,122213,27,4526.4,2509.0,1018,21630,4710.9,fopen
0.0,102443,8,12805.4,4023.0,1416,48592,17586.5,fgets
0.0,87201,24,3633.4,2634.5,1101,10787,2385.6,open
0.0,73148,1,73148.0,73148.0,73148,73148,0.0,pthread_cond_wait
0.0,38396,20,1919.8,1491.0,1027,5120,1133.5,fclose
0.0,37553,10,3755.3,3819.0,1055,7222,2082.0,close
0.0,26843,4,6710.8,4695.0,2453,15000,5850.2,pipe2
0.0,26372,10,2637.2,3019.0,1370,4000,1058.0,write
0.0,24248,12,2020.7,1805.5,1083,3907,944.2,read
0.0,23675,2,11837.5,11837.5,9638,14037,3110.6,socket
0.0,12518,1,12518.0,12518.0,12518,12518,0.0,connect
0.0,4008,2,2004.0,2004.0,1314,2694,975.8,fwrite
0.0,3019,1,3019.0,3019.0,3019,3019,0.0,bind
0.0,2639,1,2639.0,2639.0,2639,2639,0.0,pthread_cond_broadcast
0.0,2362,2,1181.0,1181.0,1010,1352,241.8,fcntl
0.0,1296,1,1296.0,1296.0,1296,1296,0.0,fdopen
0.0,1222,1,1222.0,1222.0,1222,1222,0.0,listen
